"PC1","PC2","Location"
-0.880666887948437,1.27152806197275,"Cote d'Ivoire"
-0.218494788760867,1.98521803919925,"Cote d'Ivoire"
-1.87066562058044,1.67359740151919,"Benin"
0.513470720617203,2.13681590664813,"Ethiopia"
-0.842725930166993,0.761216193587621,"Cote d'Ivoire"
-1.94778917714667,-0.334085729406307,"Benin"
3.01368237601097,1.95771323807472,"Nigeria"
-2.13869333998519,0.975456462846433,"Botswana"
1.80148535179173,2.00023513945694,"Tanzania"
-2.75052107536876,0.495136464618528,"Botswana"
1.21108421623028,1.7274360399386,"Uganda"
0.926037531602377,1.94201073577545,"Zambia"
-2.6354862469844,0.0330861442605866,"Botswana"
1.83114104760847,1.93771218175892,"Zimbabwe"
-2.81634481812333,0.144047892734224,"Botswana"
-0.16605552107308,1.51781126081695,"Cote d'Ivoire"
0.420508391829633,1.16734113213034,"Ethiopia"
-3.04200271769916,-0.0586725617613492,"Botswana"
2.25926258372334,1.7339464912496,"Mozambique"
-2.91568282702614,-0.198381763144099,"Botswana"
-2.75558677325404,0.917506295443591,"Namibia"
-2.66954658778495,-2.0396612343766,"Botswana"
2.99265180135561,1.68457532223028,"Nigeria"
-2.08064887243209,1.1265882849873,"Rwanda"
-0.319204998100665,1.10950075280176,"Ethiopia"
1.5794501520603,1.65057761241832,"Tanzania"
1.2267916783688,1.6619190390829,"Uganda"
-0.622200773177785,0.974030428781417,"Ethiopia"
0.904508104884662,1.20139519923249,"Zambia"
-2.85001026663839,0.693718440852073,"Namibia"
1.62021512262699,1.70195325503881,"Zimbabwe"
-0.655941399429536,0.24788436820491,"Cote d'Ivoire"
-3.14446276051725,0.490407878332184,"Namibia"
-0.737197545091099,-0.4070885674383,"Cote d'Ivoire"
2.01628583372727,1.41169891323386,"Kenya"
-0.765017110848241,0.500503528930919,"Cote d'Ivoire"
-0.862817195919008,1.73585198804175,"Lesotho"
-1.03118980541273,0.118453240505092,"Cote d'Ivoire"
2.43069478389376,1.29556501180113,"Mozambique"
-1.13631284294072,-0.478015631239911,"Cote d'Ivoire"
-1.22439771616394,-1.27101531585266,"Cote d'Ivoire"
2.94385285355633,1.44828894560037,"Nigeria"
2.1515855433606,1.07053294304627,"Mozambique"
-2.15658992637374,0.890466576132378,"Rwanda"
-1.02803939925933,0.30546255599356,"Ethiopia"
2.23792088051251,1.05777184925683,"Tanzania"
1.12063217281025,1.45657755367277,"Uganda"
-1.26635092827415,-0.314428987153381,"Ethiopia"
0.919672656268315,0.44125188307823,"Zambia"
1.68386764344484,0.598003940567392,"Kenya"
1.40244927376689,1.42364594078267,"Zimbabwe"
-1.29611848157676,0.521488578404124,"Ethiopia"
-1.33559906738253,0.426855675998728,"Ethiopia"
-1.28553412581928,0.287080008952666,"Ethiopia"
-1.38104986455802,0.159019299637845,"Ethiopia"
2.1755859960738,-0.116783051113537,"Mozambique"
2.90271151479916,0.310634176243684,"Nigeria"
1.2429084721961,-0.645843288549443,"Kenya"
-2.40777750979276,0.692826396358589,"Rwanda"
-2.35624974438646,1.32068399818723,"Senegal"
1.57968759752698,1.49765182541148,"Tanzania"
2.35979273867367,-2.05611492337049,"Mozambique"
1.19341466029923,1.09529549624285,"Uganda"
0.369665045621188,0.0749437302923612,"Zambia"
2.3597021106936,-0.258722470275235,"Mozambique"
1.04195026223682,1.20273002561942,"Zimbabwe"
2.93695466082725,-2.86486364582259,"Mozambique"
0.683107295394688,0.119102123126461,"Kenya"
0.616508466272149,-0.627393776483958,"Kenya"
0.146327003869595,0.050113107474613,"Kenya"
0.0935764096121455,-0.0763698560609666,"Kenya"
-2.26181313099029,0.478306113196258,"Lesotho"
-3.32009279035308,0.255664172592769,"Namibia"
2.46925875984043,-1.08464009190302,"Mozambique"
3.02231870111219,-0.502980502683707,"Nigeria"
-3.15270518069525,-0.496045176632187,"Namibia"
-2.42981219353446,0.316553256850026,"Rwanda"
2.54203176013684,-0.521355207464175,"Mozambique"
-3.1375434352982,0.166568027999711,"Namibia"
1.39449768774973,0.755687620776811,"Tanzania"
-3.28350415092545,-0.0241643385643563,"Namibia"
0.99148092733103,0.232263150616794,"Uganda"
0.10472635718494,-0.791700304222283,"Zambia"
0.788261503124818,-0.237338913370059,"Zimbabwe"
2.80997169615697,-1.48307329506377,"Nigeria"
2.84162035666243,-1.93936161242118,"Nigeria"
2.64884965938123,-2.37591484662282,"Nigeria"
2.35655709301161,-1.9803654121514,"Nigeria"
3.14148844310483,-2.39189420331233,"Nigeria"
-2.82085757607653,-0.0117981946885515,"Rwanda"
1.37603858138642,0.533753662592759,"Tanzania"
0.750061908902866,-1.38528881357778,"Uganda"
-0.011502338127274,-2.2524960430087,"Zambia"
-2.72217626942357,-0.708746253537355,"Rwanda"
0.7000964970452,-1.52325616402093,"Zimbabwe"
-2.79106362557545,-0.497070796114323,"Rwanda"
-2.3399364709246,-1.9856175543834,"Rwanda"
-2.6439379651578,-1.13808671806838,"Rwanda"
-2.46857432648455,-1.67626613289674,"Senegal"
1.41019903583188,-0.436738325715403,"Tanzania"
0.716010635977136,-0.17982213081222,"Uganda"
0.125753625330656,-1.72572110994768,"Zambia"
0.359629969655811,-0.879315653920215,"Zimbabwe"
1.15611117124933,-0.939516962981583,"Tanzania"
1.24733091681635,-2.08580499036067,"Tanzania"
0.711020888845153,-0.253225764183424,"Tanzania"
0.779652199783504,-1.98702132272813,"Uganda"
-0.168346916183964,-1.65080084148789,"Zambia"
0.338152835946602,-1.93817815527258,"Zimbabwe"
-0.144203488261867,-1.29637059108849,"Uganda"
